Company,Position,Date Applied,Status,Notes,Reminder Date
Stripe,UX Designer,2024-06-29,Interview Scheduled,Note 0,
Tesla,Software Engineer,2024-06-06,Offer Received,Note 1,2024-09-26
Google,Data Scientist,2024-08-14,Interview Scheduled,Note 2,2024-09-11
Apple,Product Manager,2024-08-17,Rejected,Note 3,
Stripe,DevOps Engineer,2024-06-19,Applied,Note 4,
Tesla,Software Engineer,2024-07-14,Rejected,Note 5,2024-09-28
Airbnb,Product Manager,2024-06-25,Offer Received,Note 6,2024-09-05
Facebook,Data Scientist,2024-08-23,Awaiting Response,Note 7,2024-09-09
Stripe,DevOps Engineer,2024-06-14,Awaiting Response,Note 8,2024-09-26
Apple,Software Engineer,2024-08-24,Applied,Note 9,2024-09-04
